,RRRRR,RRRRG,RRRGR,RRGRR,RGRRR,GRRRR,RRRGG,RRGGR,RGGRR,GGRRR,GRRRG,RRGRG,RGRGR,GRGRR,RGRRG,GRRGR,GRRGG,RRGGG,RGGGG,GGGGR,GGGRR,GGGGG,GGGRG,GGRGR,RGGGR,GGRRG,GRGRG,RGRGG,GRGGR,GGRGG,RGGRG,GRGGG
GGGRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611929554565425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4388070445434575,0.0,0.0,0.0,0.0,0.0,0.0
GGGGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5190855559404226,0.0,0.4809144440595774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGGRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5444732162356097,0.0,0.0,0.0,0.0,0.0,0.4555267837643902,0.0,0.0
GGRGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5590910806628165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4409089193371834,0.0,0.0,0.0,0.0,0.0
RGGGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5585367086049214,0.0,0.44146329139507856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGRRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686044309789813,0.4313955690210187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRGRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666550383733678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333449616266321,0.0,0.0,0.0,0.0
RGRGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573405459806265,0.0,0.0,0.4426594540193735
GRGGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5586545518969401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4413454481030599,0.0
GGRGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419255143133643,0.0,0.0,0.45807448568663567
RGGRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611223706240008,0.0,0.0,0.0,0.0,0.0,0.43887762937599917,0.0,0.0
GRGGG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586264604704497,0.0,0.0,0.0,0.0,0.0,0.5413735395295504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
